"scenario_number","dist_seq_estim2","dist_epi_estim2","perfect_align","proportion_seq_greater","rmse_sequenceRt","rmse_casecountRt"
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"004",0.0919562507740134,0.0847056682826882,NA,1,NA,NA
"004",NA,NA,NA,NA,0.271179456682388,0.401187235653475
"007",0.0787123728762888,0.0978525624503715,NA,0,NA,NA
"007",NA,NA,NA,NA,0.300288833654858,0.427472792012284
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"004",0.0919562507740134,0.0847056682826882,NA,1,NA,NA
"004",NA,NA,NA,NA,0.271179456682388,0.401187235653475
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"004",0.0919562507740134,0.0847056682826882,NA,1,NA,NA
"004",NA,NA,NA,NA,0.271179456682388,0.401187235653475
"007",0.0787123728762888,0.0978525624503715,NA,0,NA,NA
"007",NA,NA,NA,NA,0.300288833654858,0.427472792012284
"008",0.0805838562042639,0.0834604714369346,NA,0,NA,NA
"008",NA,NA,NA,NA,0.264884819666115,0.307919040959455
"009",0.105293683078544,0.102772181205904,NA,1,NA,NA
"009",NA,NA,NA,NA,0.369272440916055,0.385197297529685
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"004",0.0919562507740134,0.0847056682826882,NA,1,NA,NA
"004",NA,NA,NA,NA,0.271179456682388,0.401187235653475
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"004",0.0919562507740134,0.0847056682826882,NA,1,NA,NA
"004",NA,NA,NA,NA,0.271179456682388,0.401187235653475
"007",0.0787123728762888,0.0978525624503715,NA,0,NA,NA
"007",NA,NA,NA,NA,0.300288833654858,0.427472792012284
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"004",0.0919562507740134,0.0847056682826882,NA,1,NA,NA
"004",NA,NA,NA,NA,0.271179456682388,0.401187235653475
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"004",0.0919562507740134,0.0847056682826882,NA,1,NA,NA
"004",NA,NA,NA,NA,0.271179456682388,0.401187235653475
"007",0.0787123728762888,0.0978525624503715,NA,0,NA,NA
"007",NA,NA,NA,NA,0.300288833654858,0.427472792012284
"008",0.0805838562042639,0.0834604714369346,NA,0,NA,NA
"008",NA,NA,NA,NA,0.264884819666115,0.307919040959455
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"004",0.0919562507740134,0.0847056682826882,NA,1,NA,NA
"004",NA,NA,NA,NA,0.271179456682388,0.401187235653475
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
"003",0.0897806131646426,0.0929038501838741,NA,0,NA,NA
"003",NA,NA,NA,NA,0.299187237888042,0.445521715525325
"004",0.0919562507740134,0.0847056682826882,NA,1,NA,NA
"004",NA,NA,NA,NA,0.271179456682388,0.401187235653475
"007",0.0787123728762888,0.0978525624503715,NA,0,NA,NA
"007",NA,NA,NA,NA,0.300288833654858,0.427472792012284
"002",0.090303091174554,0.0806532695159016,NA,1,NA,NA
"002",NA,NA,NA,NA,0.309572904926931,0.354928107017074
